Категориальный,Числовой,H-статистика,p-value,Значимость
Грейд кредита,Процентная ставка,52272.61010422711,0.0,***
Наличие дефолта,Процентная ставка,14968.19477693693,0.0,***
Владение жильём,Доход,8443.351702558386,0.0,***
Владение жильём,Стаж работы,5525.315394477789,0.0,***
Цель кредита,Возраст,2695.252314182606,0.0,***
Владение жильём,Процентная ставка,2567.6971162200593,0.0,***
Грейд кредита,% дохода на кредит,1441.7693268368664,2.1861253329152703e-308,***
Владение жильём,% дохода на кредит,1409.2023005799958,2.967174423958232e-305,***
Цель кредита,Длина кред. истории,1245.5223074720925,4.04724126209811e-267,***
Цель кредита,Доход,1173.7072384276983,1.4553905687221174e-251,***
Владение жильём,Сумма кредита,758.1943010215273,5.041983491621917e-164,***
Грейд кредита,Сумма кредита,717.6255131304982,9.565909305728984e-152,***
Грейд кредита,Стаж работы,716.7117980738271,1.5067229905683628e-151,***
Грейд кредита,Доход,469.85040697423636,2.6170194413866194e-98,***
Владение жильём,Возраст,357.54112063585524,3.473320038646626e-77,***
Цель кредита,Сумма кредита,256.37808571285933,2.351895934003145e-53,***
Наличие дефолта,Стаж работы,216.7875448152352,4.540722313458594e-49,***
Владение жильём,Длина кред. истории,215.76644807459894,1.6513613581029442e-46,***
Наличие дефолта,Доход,132.53583672613811,1.142259936008875e-30,***
Наличие дефолта,% дохода на кредит,105.06380753310421,1.182654718494731e-24,***
Цель кредита,Стаж работы,104.02664884624154,7.479958162083934e-21,***
Цель кредита,% дохода на кредит,53.691846979359454,2.424808340934097e-10,***
Цель кредита,Процентная ставка,49.60791590851184,1.6669123898432882e-09,***
Грейд кредита,Возраст,12.941711081163316,0.04397097441217385,*
Грейд кредита,Длина кред. истории,8.003145510068494,0.23787294804512724,ns
Наличие дефолта,Сумма кредита,4.106884741731089,0.042708963555162245,*
Наличие дефолта,Возраст,0.39679479837532045,0.5287492161467243,ns
Наличие дефолта,Длина кред. истории,0.12443393759548503,0.7242744098854279,ns
