Признак,Признак_EN,Базовая важность
% дохода на кредит,loan_percent_income,0.06029486187187423
Грейд кредита,loan_grade,0.04895436413431773
Доход,person_income,0.03147401166944506
Владение жильём,person_home_ownership,0.027192486306263385
Процентная ставка,loan_int_rate,0.020051649202190956
Цель кредита,loan_intent,0.006338562753036392
Стаж работы,person_emp_length,0.0048895570373898465
Сумма кредита,loan_amnt,0.0024365920457251724
Длина кред. истории,cb_person_cred_hist_length,0.00021954632055247724
Наличие дефолта,cb_person_default_on_file,-4.465348892623844e-06
Возраст,person_age,-0.0006727792331508109
