Удалённый (A),Измеряемый (B),Δ важности,Интерпретация
Процентная ставка,Грейд кредита,0.0912191394776534,сильное дублирование
Доход,% дохода на кредит,0.0881544216877035,сильное дублирование
% дохода на кредит,Доход,0.08535688060649368,сильное дублирование
Грейд кредита,Процентная ставка,0.08385205802968959,сильное дублирование
% дохода на кредит,Сумма кредита,0.05103348019369688,сильное дублирование
Сумма кредита,% дохода на кредит,0.04461106811145518,сильное дублирование
% дохода на кредит,Грейд кредита,0.023631122489481578,сильное дублирование
Грейд кредита,% дохода на кредит,0.017706100658887045,дублирование
Владение жильём,Доход,0.01566766888941816,дублирование
Доход,Владение жильём,0.015449114868619454,дублирование
Доход,Грейд кредита,0.014755001190759627,дублирование
% дохода на кредит,Процентная ставка,0.012957202111613865,дублирование
Владение жильём,Грейд кредита,0.012793968802095657,дублирование
Сумма кредита,Грейд кредита,0.01186864928157496,дублирование
Грейд кредита,Владение жильём,0.011723029292688703,дублирование
