Ранг,Признак,Признак (англ),Тип,Mutual Information
1,Доход,person_income,Числовой,0.09676653806598479
2,Процентная ставка (%),loan_int_rate,Числовой,0.08258309720830637
3,Процент дохода на кредит (%),loan_percent_income,Числовой,0.08012293269209847
4,Грейд кредита,loan_grade,Категориальный,0.07832455757272315
5,Владение жильем,person_home_ownership,Категориальный,0.03237246675265022
6,Сумма кредита,loan_amnt,Числовой,0.01520668759497612
7,Наличие дефолта в истории,cb_person_default_on_file,Категориальный,0.014674372345184539
8,Стаж работы (лет),person_emp_length,Числовой,0.009501322350207841
9,Цель кредита,loan_intent,Категориальный,0.005719529089257297
10,Возраст,person_age,Числовой,0.0009550420514348179
11,Длина кредитной истории (лет),cb_person_cred_hist_length,Числовой,0.00016656390053593206
