Ранг,Признак,Признак (англ),Тип,Importance,Importance (%)
1,Процент дохода на кредит (%),loan_percent_income,Числовой,0.2704545594705458,27.04545594705458
2,Грейд кредита,loan_grade,Категориальный,0.23382238101055058,23.38223810105506
3,Процентная ставка (%),loan_int_rate,Числовой,0.14065836249879815,14.065836249879816
4,Доход,person_income,Числовой,0.11268935489282708,11.268935489282708
5,Владение жильем,person_home_ownership,Категориальный,0.10631419092868516,10.631419092868516
6,Сумма кредита,loan_amnt,Числовой,0.0520913791400831,5.20913791400831
7,Цель кредита,loan_intent,Категориальный,0.030717051270180647,3.0717051270180646
8,Наличие дефолта в истории,cb_person_default_on_file,Категориальный,0.019390712350358323,1.9390712350358323
9,Стаж работы (лет),person_emp_length,Числовой,0.017368939801791997,1.7368939801791998
10,Возраст,person_age,Числовой,0.008899533509088252,0.8899533509088252
11,Длина кредитной истории (лет),cb_person_cred_hist_length,Числовой,0.007593535127090867,0.7593535127090867
